2025-02-19 21:08:53,871 [main] INFO  (RestXqServiceRegistryManager.java [getRegistry]:49) - Initialising RESTXQ... 
2025-02-19 21:08:53,875 [main] INFO  (RestXqServiceRegistryManager.java [getRegistry]:67) - RESTXQ is ready. 
2025-02-19 21:08:54,499 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/packageservice/controller.xql' has a missing dependency on '/db/apps/packageservice/modules/login-helper.xql'. Will re-examine if the missing module is added. 
2025-02-19 21:08:54,648 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/packageservice/modules/remote-packages-json.xql' has a missing dependency on '/db/apps/packageservice/modules/packages.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:08:54,657 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/packageservice/modules/get-public-url.xql' has a missing dependency on '/db/apps/packageservice/modules/config.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:08:54,665 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/packageservice/modules/local-packages-json.xql' has a missing dependency on '/db/apps/packageservice/modules/packages.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:08:54,672 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/packageservice/modules/local-apps.xql' has a missing dependency on '/db/apps/packageservice/modules/packages.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:08:54,705 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/packageservice/modules/local-packages.xql' has a missing dependency on '/db/apps/packageservice/modules/packages.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:08:54,764 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/packageservice/modules/test.xql' has a missing dependency on '/db/apps/packageservice/modules/packages.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:08:54,768 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/packageservice/modules/local-apps-json.xql' has a missing dependency on '/db/apps/packageservice/modules/packages.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:08:54,773 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/packageservice/modules/rename.xql' has a missing dependency on '/db/apps/packageservice/modules/packages.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:08:54,792 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/packageservice/modules/config.xqm' has been added to the database, re-examining '/db/apps/packageservice/modules/get-public-url.xql'... 
2025-02-19 21:08:54,818 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:324) - Discovered 0 resource functions for /db/apps/packageservice/modules/get-public-url.xql 
2025-02-19 21:08:54,834 [main] WARN  (ExistXqueryRegistry.java [recordMissingDependency]:428) - Module '/db/apps/packageservice/modules/remote-packages.xql' has a missing dependency on '/db/apps/packageservice/modules/packages.xqm'. Will re-examine if the missing module is added. 
2025-02-19 21:08:55,177 [main] INFO  (ExistXqueryRegistry.java [reexamineModulesWithResolvedDependencies]:321) - Missing dependency '/db/apps/packageservice/modules/packages.xqm' has been added to the database, re-examining '/db/apps/packageservice/modules/rename.xql'... 
